Tweet,change
" .@Facebook CEO Mark Zuckerberg is today criticizing Twitter. “We have a different policy than Twitter on this. I believe strongly that Facebook shouldn’t be the arbiter of truth of everything that people say online.” Did Twitter criticize Obama for his “you can keep your Dr.”? MAIL-IN VOTING WILL LEAD TO MASSIVE FRAUD AND ABUSE. IT WILL ALSO LEAD TO THE END OF OUR GREAT REPUBLICAN PARTY. WE CAN NEVER LET THIS TRAGEDY BEFALL OUR NATION. BIG MAIL-IN VICTORY IN TEXAS COURT TODAY. CONGRATS!!! ....These THUGS are dishonoring the memory of George Floyd, and I won’t let that happen. Just spoke to Governor Tim Walz and told him that the Military is with him all the way. Any difficulty and we will assume control but, when the looting starts, the shooting starts. Thank you! Twitter is doing nothing about all of the lies & propaganda being put out by China or the Radical Left Democrat Party. They have targeted Republicans, Conservatives & the President of the United States. Section 230 should be revoked by Congress. Until then, it will be regulated! “The President has been targeted by Twitter.” @MariaBartiromo What about all of the lies and fraudulent statements made by Adam Schiff, and so many others, on the Russian Witch Hunt Plus, Plus, Plus? What about China’s propaganda? WHO’s mistakes? No flags? @foxandfriends “Regulate Twitter if they are going to start regulating free speech.” @JudgeJeanine @foxandfriends Well, as they have just proven conclusively, that’s what they are doing. Repeal Section 230!!! CHINA! The National Guard has arrived on the scene. They are in Minneapolis and fully prepared. George Floyd will not have died in vain. Respect his memory!!! REVOKE 230! ....It was spoken as a fact, not as a statement. It’s very simple, nobody should have any problem with this other than the haters, and those looking to cause trouble on social media. Honor the memory of George Floyd!",0.23
"Big Tech is doing everything in their very considerable power to CENSOR in advance of the 2020 Election. If that happens, we no longer have our freedom. I will never let it happen! They tried hard in 2016, and lost. Now they are going absolutely CRAZY. Stay Tuned!!! Texas Supreme Court: Lack of immunity to COVID-19 alone not enough to vote by mail https://www.dallasnews.com/news/public-health/2020/05/27/texas-supreme-court-lack-of-immunity-to-covid-19-not-enough-to-vote-by-mail/ Big win in Texas on the dangerous Mail In Voting Scam! Who else gave the less than elite (We are the elite. We know how to WIN!) 260 great new Federal Judges, 2 SCJ’s, Low Taxes, biggest ever REG. CUTS, Rebuilt Military, Choice, saved 2A & MUCH more? Not Sleepy Joe! Thank you Erick. He looks better! Thank you Cowboys. See you in New Mexico! Trump on Russia Hoax: ‘When the Papers Come Out’ We Will Learn Obama ‘Knew Everything’ Yet she doesn’t let people even breath in Michigan. A very bad double standard! The greatest political crime in USA History! @USAttyHuber Whatever happen to John Huber? So many different viewpoints! This will be a Big Day for Social Media and FAIRNESS! We have just reached a very sad milestone with the coronavirus pandemic deaths reaching 100,000. To all of the families & friends of those who have passed, I want to extend my heartfelt sympathy & love for everything that these great people stood for & represent. God be with you! All over the World the CoronaVirus, a very bad “gift” from China, marches on. Not good! Thank you to our GREAT Republican Congressmen & Congresswomen on your incredibly important blockage last night of a FISA Bill that would just perpetuate the abuse that produced the Greatest Political Crime In the History of the U.S., the Russian Witch-Hunt. Fantastic Job! The men and women of the National Guard have been doing a great job fighting the CoronaVirus. This week, I will extend their Title 32 orders through mid-August, so they can continue to help States succeed in their response and recovery efforts. So ridiculous to see Twitter trying to make the case that Mail-In Ballots are not subject to FRAUD. How stupid, there are examples, & cases, all over the place. Our election process will become badly tainted & a laughingstock all over the World. Tell that to your hater @yoyoel Very exciting news for the Phoenix area—@USDOT is committing $100M to @valleymetro for a 5.5-mile light rail system with 9 new stations connecting underserved areas to churches, emergency services, and more! .@USDOT is committing $21.8M for the FIRST transit project of this kind in the Tampa Bay region. It will connect St. Petersburg to popular beaches through state-of-the-art transit buses with FREE WiFi. Will be a major help to heavily populated parts of the Great State of Florida! I’m excited to commit $100M to @MiamiDadeCounty, FL in @USDOT funding to connect fast-growing communities through state-of-the-art transit service! Fast, safe, and beautiful infrastructure! Big announcement for the State of Indiana! $77.5M committed in @USDOT funds for a “game-changing” transit project to provide fast and frequent service to the people of Indianapolis and Lawrence. Indiana is set to receive $100M in @USDOT transit funds for the @southshoreline to connect people to jobs around the State and the Chicago-area and help cut down on traffic. @GovHolcomb has worked very hard on this project! I am proud to commit $60.9M in @USDOT funding to provide a BRAND NEW bus system for a very busy and popular transit corridor in the Albany, NY area—more help coming to the people of New York! @CDTA MAX Red line in Oregon is set to receive $99.99M in @USDOT funds to reduce delays in the Portland area, connect citizens to very important locations, and make transit GREAT! @trimet .@USDOT is committing $99.95M to @PGHtransit in Pennsylvania to connect Pittsburghers to their two largest commercial employment centers through safe, quick transit service. Great things coming to a great State! Ogden, Utah, I am committing $64.5M to build bus service between Weber State University and McKay-Dee Hospital—very important services for Utahans! @RideUTA I’m proud to commit $40.9M in @USDOT funding to Milwaukee’s East-West Bus Rapid Transit project. Bringing modern transit to the region’s most critical corridor and spur millions in economic development. Love Wisconsin! @RideMCTS",-1.15
"Great News: The boring but very nasty magazine, The Atlantic, is rapidly failing, going down the tubes, and has just been forced to announce it is laying off at least 20% of its staff in order to limp into the future. This is a tough time to be in the Fake News Business! The Failing @nytimes, winner of @PulitzerPrizes for its totally flawed coverage of the illegal Russia Witch Hunt, does its research as follows: Think of the absolute worst things you can say about Donald J. Trump, pretend there are sources, and just say it. RETURN THE PULITZERS! Congratulations to author Nick Adams on the @simonschuster publication of your new book, “Trump and Churchill, Defenders of Western Civilization”. Certainly a great honor to be compared, in any way, to Winston Churchill. @NickAdamsinUSA Former CBS Reporter One Of The First ‘To Identify Myself As A Target of Illegal Spying Under Obama Admin’ Republicans feel that Social Media Platforms totally silence conservatives voices. We will strongly regulate, or close them down, before we can ever allow this to happen. We saw what they attempted to do, and failed, in 2016. We can’t let a more sophisticated version of that.... ....happen again. Just like we can’t let large scale Mail-In Ballots take root in our Country. It would be a free for all on cheating, forgery and the theft of Ballots. Whoever cheated the most would win. Likewise, Social Media. Clean up your act, NOW!!!! We have informed both India and China that the United States is ready, willing and able to mediate or arbitrate their now raging border dispute. Thank you! New papers make CLEAR that the Obama Administration SPIED, in an unprecedented manner, on the Trump Campaign and beyond, and even on the United States Senate. Nobody would ever have believed that this level of illegality and corruption would be taking place in our beautiful USA! OBAMAGATE MAKES WATERGATE LOOK LIKE SMALL POTATOES! We are acting as a police force, not the fighting force that we are, in Afghanistan. After 19 years, it is time for them to police their own Country. Bring our soldiers back home but closely watch what is going on and strike with a thunder like never before, if necessary! We pass 15,000,000 Tests Today, by far the most in the World. Open Safely! Psycho Joe Scarborough is rattled, not only by his bad ratings but all of the things and facts that are coming out on the internet about opening a Cold Case. He knows what is happening! The Radical Left Lamestream Media, together with their partner, the Do Nothing Democrats, are trying to spread a new narrative that President Trump was slow in reacting to Covid 19. Wrong, I was very fast, even doing the Ban on China long before anybody thought necessary! Twitter has now shown that everything we have been saying about them (and their other compatriots) is correct. Big action to follow! WARRANTLESS SURVEILLANCE OF AMERICANS IS WRONG! Thank you to @NASA and @SpaceX for their hard work and leadership. Look forward to being back with you on Saturday! If the FISA Bill is passed tonight on the House floor, I will quickly VETO it. Our Country has just suffered through the greatest political crime in its history. The massive abuse of FISA was a big part of it! ....I have asked for this investigation to be expedited and greatly appreciate all of the work done by local law enforcement. My heart goes out to George’s family and friends. Justice will be served! ""He is arguably the greatest president in our history.” Thank you @LouDobbs!",0.99
" Joe Biden’s handling of the H1N1 Swine Flu was a complete and total disaster. Even polls on the matter were terrible! There is NO WAY (ZERO!) that Mail-In Ballots will be anything less than substantially fraudulent. Mail boxes will be robbed, ballots will be forged & even illegally printed out & fraudulently signed. The Governor of California is sending Ballots to millions of people, anyone..... ....living in the state, no matter who they are or how they got there, will get one. That will be followed up with professionals telling all of these people, many of whom have never even thought of voting before, how, and for whom, to vote. This will be a Rigged Election. No way! Sean Parnell is an American Hero. Conor Lamb has proven to be an American fraud, and a puppet for Crazy Nancy Pelosi. He said he would NOT vote for her for Speaker, and did. Will kill 2A. Voted to impeach (on nothing). A TOTAL & COMPLETE Sean Parnell Endorsement! The opening of a Cold Case against Psycho Joe Scarborough was not a Donald Trump original thought, this has been going on for years, long before I joined the chorus. In 2016 when Joe & his wacky future ex-wife, Mika, would endlessly interview me, I would always be thinking.... ....about whether or not Joe could have done such a horrible thing? Maybe or maybe not, but I find Joe to be a total Nut Job, and I knew him well, far better than most. So many unanswered & obvious questions, but I won’t bring them up now! Law enforcement eventually will? Stock Market up BIG, DOW crosses 25,000. S&P 500 over 3000. States should open up ASAP. The Transition to Greatness has started, ahead of schedule. There will be ups and downs, but next year will be one of the best ever! We made most Governors look very good, even great, by getting them the Ventilators, unlimited Testing, and supplies, all of which they should have had in their own stockpiles. So they look great, and I just keep rolling along, doing great things and getting Fake Lamestream News! For all of the political hacks out there, if I hadn’t done my job well, & early, we would have lost 1 1/2 to 2 Million People, as opposed to the 100,000 plus that looks like will be the number. That’s 15 to 20 times more than we will lose. I shut down entry from China very early! ....One person lost to this invisible virus is too much, it should have been stopped at its source, China, but I acted very quickly, and made the right decisions. Many of the current political complainers thought, at the time, that I was moving far to fast, like Crazy Nancy! How brilliant are our FARMERS? Thank you @lgutwein99_31, real talent! #MAGA ....A total double standard. The only thing the Dems have going for them is their very close relationship with the Fake News Lamestream Media! I hope all Republican House Members vote NO on FISA until such time as our Country is able to determine how and why the greatest political, criminal, and subversive scandal in USA history took place! ....Twitter is completely stifling FREE SPEECH, and I, as President, will not allow it to happen!",0.86
" THANK YOU! #MAGA Big day for JUSTICE. Congratulations John! 96% Approval Rating in the Republican Party. Thank you! “President Trump is leading Joe Biden (D) in the battleground state of Pennsylvania 50.2 percent to 45.5 percent...This is significant, as it reflects a 4.7 percent jump from the previous survey.” Is this even possible to believe? Can this be for real? Where is this nursing home, how is the victim doing? USA will be bigger and stronger than ever before! No Voter Fraud! The Wacky Do Nothing Attorney General of Michigan, Dana Nessel, is viciously threatening Ford Motor Company for the fact that I inspected a Ventilator plant without a mask. Not their fault, & I did put on a mask. No wonder many auto companies left Michigan, until I came along! Do nothing A.G. of the Great State of Michigan, Dana Nessel, should not be taking her anger and stupidity out on Ford Motor - they might get upset with you and leave the state, like so many other companies have - until I came along and brought business back to Michigan. JOBS! https://twitter.com/Ford/status/1260661342928875527 .@FoxNews should fire their Fake Pollster. Never had a good Fox Poll! Why doesn’t @FoxNews put up the CNBC POLL or the (believe it or not!) @CNN Poll? Hope Roger A is looking down and watching what has happened to this once beautiful creation! THANK YOU! #RollingToRemember https://twitter.com/AMVETSHQ/status/1263876767359602693 HARRIS IS A GREAT AMERICAN! I am proud to announce that the Maryland Aviation Administration (@MdAviation) will receive $87.8M in CARES Act Airport Grants funding to support aviation and keep commerce moving at this important gateway to the U.S. Capital Region. Very important for economic recovery! $49.8M is on its way to @DallasLoveField Airport to aid in economic recovery. This Federal funding will support aviation in the Dallas area &amp; keep aviation workers on the job &amp; commerce moving at one of our important medium hub airports. Proud to support our friends in Dallas! .@deanbaquet is to be seriously respected. He has long been considered one of the dumbest men in the world of journalism, and he became Executive Editor of the Failing New York Times. Not easy to do. He has given up on “figuring Trump out”. Called it all wrong from the.... ....beginning, was forced to apologize (Fake News!) after the seriously wrong call of the 2016 Election, and is now willing to write anything, even if not truthful. He laughs at his boss, Publisher A.G. Sulzberger, and I laugh at them all. The @nytimes is a total mess! 3 years ago, after Jeff Sessions recused himself, the Fraudulent Mueller Scam began. Alabama, do not trust Jeff Sessions. He let our Country down. That’s why I endorsed Coach Tommy Tuberville (@TTuberville), the true supporter of our #MAGA agenda! https://secure.winred.com/tommytuberville/donate Ashley Hinson (@hinsonashley) will be a tremendous advocate for the People of Iowa! She will fight for our Military, Vets, Small Businesses, &amp; our Incredible Farmers—a true supporter of our #MAGA Agenda! Ashley has my Complete and Total Endorsement! #IA01 David Young (@YoungForIowa) is a champion for Iowa! He helped us pass the Trump Tax Cuts and he will always fight for our Small Businesses, Military, the Second Amendment and our Great Farmers! David has my Complete &amp; Total Endorsement! #IA03 Lisa Scheller (@SchellerforPA) will fight for the incredible people of Pennsylvania in Congress! She strongly supports our Military, Vets, Small Businesses and the Second Amendment. Lisa has my Complete and Total Endorsement! #PA07 Congressman Dan Meuser (@Meuser4Congress) is a tremendous advocate for Pennsylvania! Dan loves our Military, Vets and the Second Amendment – a real supporter of our #MAGA agenda. Dan has my Complete and Total Endorsement! #PA09 Congressman Lloyd Smucker (@LloydSmuckerPA) is working hard for the people of Pennsylvania! Lloyd strongly supports the Second Amendment, and he’s fighting for our incredible Workers, Military and Vets. Lloyd has my Complete and Total Endorsement! #PA11 Congressman Scott Perry (@PatriotsPerry) is an incredible fighter for Pennsylvania! He served our country as an Army General and now he fights for our Seniors, Vets, Military, and the Second Amendment. Scott has my Complete and Total Endorsement! #PA10 Congressman Glenn “GT” Thompson (@GT_TeamGT) is a hard worker for Pennsylvania! The ""Dean of the Delegation"", he strongly supports our incredible Farmers, Vets and the Second Amendment. “GT” has my Complete and Total Endorsement! #PA15 Congressman Fred Keller (@VoteFredKeller) has been doing a phenomenal job in Congress since his special election! He strongly supports our Vets, Small Businesses, Workers, and the Second Amendment. Fred has my Complete and Total Endorsement! #PA12 https://secure.winred.com/fredkeller/donate Congressman Mike Kelly (@MikeKellyforPA) is an incredible advocate for Pennsylvania! He fights to Lower your Taxes, Create Jobs, Protect our Borders, and Defend the Second Amendment. Mike has my Complete and Total Endorsement! #PA16 Sean (@SeanParnellUSA) has my Complete and Total Endorsement! #PA17 Congressman John Joyce (@JohnJoyceForPA) is a fighter for the Commonwealth of Pennsylvania! John loves our Vets, Military and Small Businesses and always defends Life and the Second Amendment. John has my Complete and Total Endorsement! #PA13 https://secure.winred.com/johnjoyce/contribute Congressman Guy Reschenthaler (@reschenthaler) is doing tremendous work for the people of Pennsylvania! A Navy veteran, Guy strongly supports our Vets, Borders, and always votes to uphold the Rule of Law. Guy has my Complete and Total Endorsement! #PA14 https://secure.winred.com/guyreschenthaler/donate We need @KarenHandel back in Congress to fight for the incredible people of Georgia! She is a tremendous advocate for our Military, Vets, Border Security and the Second Amendment. Karen has my Complete and Total Endorsement! #GA06 Admiral Ronny Jackson (@RonnyJackson4TX) is a very successful doctor and Navy Veteran running for Congress in #TX13. Strong on Crime, the Border and Agriculture — and he loves our Vets! Ronny has my Complete and Total Endorsement! Vote for Ronny!",0.01
"Great call with thousands of our Hispanic community, business, and faith leaders today. During this national trial, we have been uplifted by the grit, determination, prayers, and patriotism of Hispanic Americans.... ....Together, we built the greatest economy in history. We will do it again – better than ever before! Spokesman speaks stupidly on behalf of China, trying desperately to deflect the pain and carnage that their country spread throughout the world. Its disinformation and propaganda attack on the United States and Europe is a disgrace.... ....It all comes from the top. They could have easily stopped the plague, but they didn’t! China is on a massive disinformation campaign because they are desperate to have Sleepy Joe Biden win the presidential race so they can continue to rip-off the United States, as they have done for decades, until I came along! Wow! Just departed the @WhiteHouse for the Great State of Michigan! Many will disagree, but @FoxNews is doing nothing to help Republicans, and me, get re-elected on November 3rd. Sure, there are some truly GREAT people on Fox, but you also have some real “garbage” littered all over the network, people like Dummy Juan Williams, Schumerite Chris... ....Hahn, Richard Goodstein, Donna Brazile, Niel Cavuto, and many others. They repeat the worst of the Democrat speaking points, and lies. All of the good is totally nullified, and more. Net Result = BAD! CNN & MSDNC are all in for the Do Nothing Democrats! Fox WAS Great! DOJ: Democrats Paid Pennsylvania Election Officials to Stuff Ballot Box https://www.breitbart.com/politics/2020/05/21/doj-democrats-paid-pennsylvania-election-officials-to-stuff-ballot-box/ via @BreitbartNews Another $298M heading to @MTA, adding up to over $2B in federal funding from @USDOT so far, part of the $3.9B total from the CARES Act. This is critical to keeping essential personnel moving and aiding metro NYC in recovery. We are here for the people of New York! I will be lowering the flags on all Federal Buildings and National Monuments to half-staff over the next three days in memory of the Americans we have lost to the CoronaVirus.... ....On Monday, the flags will be at half-staff in honor of the men and women in our Military who have made the Ultimate Sacrifice for our Nation.",-0.37
"So true. OBAMAGATE! Thank you Emily! Thanks. Sleepy Joe has given you nothing, and never will! Thank you! They got caught. Some very nervous criminals out there. Thank you Ted! The Fake News knows this. Thanks Katie! A really great woman, and what a job she is doing! YES! Consistently great reporting by Elizabeth MacDonald of @FoxBusiness. She really understands OBAMAGATE! ....Roger Stone has been treated very unfairly. How about that jury Forewoman, does anybody think that was fair. DISGRACEFUL! Stay tuned. @FoxNews And guys like Low Ratings Psycho Joe Scarborough are allowed to walk the streets? Open Cold Case! Some wacko in China just released a statement blaming everybody other than China for the Virus which has now killed hundreds of thousands of people. Please explain to this dope that it was the “incompetence of China”, and nothing else, that did this mass Worldwide killing! State of Nevada “thinks” that they can send out illegal vote by mail ballots, creating a great Voter Fraud scenario for the State and the U.S. They can’t! If they do, “I think” I can hold up funds to the State. Sorry, but you must not cheat in elections. @RussVought45 @USTreasury Now that our Country is “Transitioning back to Greatness”, I am considering rescheduling the G-7, on the same or similar date, in Washington, D.C., at the legendary Camp David. The other members are also beginning their COMEBACK. It would be a great sign to all - normalization! My team is closely monitoring the flooding in Central Michigan – Stay SAFE and listen to local officials. Our brave First Responders are once again stepping up to serve their fellow citizens, THANK YOU! Great news for the Dallas area! Dallas Area Rapid Transit (DART) will be receiving $229M in funding to keep front line workers, and the many riders that depend on transit, employed and safe. This will be critical to economic recovery! @GregAbbott_TX @dartmedia We have sent our best Military & @FEMA Teams, already there. Governor must now “set you free” to help. Will be with you soon! The Tulsa, Oklahoma area has been approved for a transportation loan from the @USDOT of up to $120M to help expand highway on the Gilcrease Expressway West Project. This will mean less congestion and faster routes to popular spots! @GovStitt Congratulations to my daughter, Tiffany, on graduating from Georgetown Law. Great student, great school. Just what I need is a lawyer in the family. Proud of you Tiff! Crazy Bernie Sanders is not a fighter. He gives up too easy! The Dem establishment gets Alfred E. Newman (Mayor Pete) & @amyklobuchar to quit &amp; endorse Sleepy Joe BEFORE Super Tuesday, &amp; gets Pocahontas to stay in the race, taking thousands of votes from Bernie. He would have.... ....beaten Sleepy Joe in a LANDSLIDE, every State, if these events didn’t happen. Even if Warren just dropped out, he would have easily won. Dems did it to him with Crooked Hillary and now, even more so...and Bernie doesn’t even complain. VOTE for Trump on TRADE, better than BS! Michigan sends absentee ballot applications to 7.7 million people ahead of Primaries and the General Election. This was done illegally and without authorization by a rogue Secretary of State. I will ask to hold up funding to Michigan if they want to go down this Voter Fraud path!",0.49
" .@FoxNews is no longer the same. We miss the great Roger Ailes. You have more anti-Trump people, by far, than ever before. Looking for a new outlet! This is the letter sent to Dr. Tedros of the World Health Organization. It is self-explanatory! .@foxandfriends trounces Morning Psycho (MSDNC) in the Ratings! DC’s @WMATA system is getting over $876M, a big boost to stay open &amp; operating! The federal funds will keep workers paid &amp; buses &amp; trains running on a limited schedule as they are needed for essential trips. Good news for those who rely on transit! Congrats to @MayorBowser &amp; all! I am proud to announce the San Francisco Bay Area will receive over $700M in federal funds to support continued operations and support workers at @flySFO Intl Airport and for transit on @sfmta_muni &amp; @SFBart. This money will aid in economic recovery! I am proud to announce the Portland Area’s @trimet will receive over $184M in federal funds to support continued operations of their transit system. This will keep workers on the job and help the economic recovery by ensuring reliable transportation! I am pleased to announce that the Seattle area’s @SoundTransit will receive over $166M in federal funds from @USDOT to help keep the transit system open &amp; operational, helping get people to work or make necessary trips. These funds help replace lost fare revenue, very important! “The Massive Trump Coronavirus Supply Effort that the Media Loves to Hate” @RichLowry THANK YOU @SenateGOP!",-1.51
"Watch @marklevinshow tonight on @FoxNews. He covers the Russia Hoax and all of the other criminality that came from the Obama Administration They got caught! A repeat later in evening. Really something. 100% correct! Great job Peter! Enjoy the campaign Joe! .@60Minutes &amp; third place anchor, @NorahODonnell, are doing everything in their power to demean our Country, much to the benefit of the Radical Left Democrats. Tonight they put on yet another Fake “Whistleblower”, a disgruntled employee who supports Dems, fabricates stories, &amp;... ....This whole Whistleblower racket needs to be looked at very closely, it is causing great injustice & harm. I hope you are listening @SenSusanCollins I also hope that Shari Redstone will take a look at her poorly performing gang. She knows how to make things right! This picture seems like just yesterday when Ronald recieved the Congressional Medal of Honor. What a man! This love of Country went all over. They hate Fake News, and so do I! MAGA crowds are bigger than ever! This is unbelievable! True, except to the Fake News Media and a former president who didn’t have a clue! Yes! REOPEN OUR COUNTRY! TRANSITION TO GREATNESS Wow! The Front Page @washingtonpost Headline reads, “A BOOST IN TESTS, BUT LACK OF TAKERS.” We have done a great job on Ventilators, Testing, and everything else. Were left little by Obama. Over 11 million tests, and going up fast. More than all countries in the world, combined. .....mixed about even wanting us to get out. They make a fortune $$$by having us stay, and except at the beginning, we never really fought to win. We are more of a police force than the mighty military that we are, especially now as rebuilt. No, I am not acting impulsively! We are with them! So the so-called HHS Whistleblower was against HYDROXYCHLOROQUINE. Then why did he make, and sign, an emergency use authorization? @NorahODonnell said, “He shared his concerns with a reporter.” In other words, he LEAKED. A dumb @60Minutes hit job on a grandstanding Never Trumper! Sleepy Joe is wrong again! LOSER! OIL (ENERGY) IS BACK!!!! Today we commemorate the 100th Anniversary of the birth of Saint John Paul II. HAPPY BIRTHDAY! A fantastic new book, “American Crusade” written by a Great American Patriot, @PeteHegseth — is available tomorrow! Hear more about it as he joins @SeanHannity tonight at 9:00pmE and @foxandfriends tomorrow morning at 8:30amE. Get your copy today!",2.23
"Thanks. You are very cool! Thank you. My great honor! Thank you to all of my great Keyboard Warriors. You are better, and far more brilliant, than anyone on Madison Avenue (Ad Agencies). There is nobody like you! Where is the 302? It is missing. Was it stolen or destroyed? General Flynn is being persecuted! #OBAMAGATE GREAT! It’s about time! ....Likewise, the @nytimes and @washingtonpost are a disgrace to journalism. They are all Fake News, and they know it better than anyone else. History is unfolding, and it is not a pretty picture for “journalism”. I am proud to announce that @NJTransit will receive $1.4B in CARES Act funding to assist in their continued operations and to keep people moving in the NY/NJ area! The LARGEST single Federal transit grant to New Jersey Transit ever. Together, we will prevail! Chicago’s @CTA has big federal resources heading its way to keep the transit system operational and to keep people moving where they need to go. $817M will aid in the economic recovery — buy Made in the USA! Today I was presented with the brand new @SpaceForceDoD flag in the Oval Office. I will take Great Pride in displaying it at the @WhiteHouse! I am proud to announce that the United States will donate ventilators to our friends in India. We stand with India and @narendramodi during this pandemic. We’re also cooperating on vaccine development. Together we will beat the invisible enemy! Such a wonderful reception yesterday in Pennsylvania. Thank you! #MAGA",0.98
